unique_breed,matching_breed
small mix beagle/ hound,tier_2
Yorkie mix,tier_1
Collie mix,tier_3
auusie,tier_3
Shitzu,tier_1
Sheltie,tier_1
Labradoddle,None
Bull Terrier mix,tier_2
Blue Tick Hound,tier_1
Finnish SpitzBlack,tier_1
maltese/yorkie,tier_1
German Shepherd Mix,tier_1
Whippet,tier_2
lab/great pyrenes mix,tier_2
Domestic Short Hair/ White,tier_1
American Bulldog,tier_2
Labrador Retriever/Boxer mix,tier_4
Australian Shepherd/ Corgi mix,tier_2
boxer mix,tier_4
mini Dachshund,tier_2
Beagle Mix,tier_2
DHS,tier_1
Irishdoodle,None
Bloodhound mix,tier_1
American Staffordshire Terrier mix,tier_2
beagle-bassett mix,tier_2
pit/mix Brindle,tier_1
schnauzer/terrier,tier_1
Golden-Doodle,tier_4
Brussels Griffon,tier_1
Lab/pit mix,tier_4
Sheep dog mix,tier_3
Weimaraner,tier_3
Bulldog,tier_2
Chiweenie,None
Domestic short hair/black,tier_1
Domestic Short Hair/Black & White,tier_1
Besenji Mix,tier_1
blue heeler/Aussie mix,tier_1
Poodle/ terrier mix,tier_2
German Shepherd Dog Tan & Black,tier_1
Husky mix,tier_4
Pug/Dachsund mix,tier_1
Lab/Dane Mix,tier_1
Doberman mix,tier_3
Miniature Pinscher Mix,tier_1
husky/shepherd,tier_1
Rat Terrier,tier_2
Shetland Sheepdog,tier_3
Beagle/Pomeranian,tier_2
Hound/mix,tier_1
cocker spaniel mix,tier_1
Shepherd/ Border Collie Mix,tier_1
"DSH, Gray/white",tier_1
Mastiff mix,tier_1
"Chihuahua, Japanese Chin mix",tier_1
Newfoundland,tier_1
Labrador Retriever / Vizsla Mix,tier_4
Chihuahua Pug,tier_1
Shepherd/Lab mix,tier_1
Black Mouth Cur,tier_1
Aussie/lab mix,tier_3
Min Pin,tier_1
Pitt Mix,tier_1
Morkie Pom,tier_1
Shih Tzu/mix,tier_1
Shorkie,None
Alapaha blue blood bulldog,tier_2
Argentine Mastiff,tier_1
Jack Russell Mix,tier_1
Chorkie,None
jack russel,tier_1
American Terrier,tier_2
maltese/ white,tier_1
DSH,None
Mastiff/Lab mix,tier_1
Rhodesian Ridgeback,tier_2
Chihuahua/ Jack Russell Mix,tier_1
Domestic shorthair/ mix,tier_1
Plott hound mix,tier_3
American Eskimo Dog,tier_3
Cavalier King Charles Spaniel Poodle Mix,tier_1
German Shepard Lab Mix,tier_1
Rhodesian Ridgeback Mix,tier_2
Cocker Spaniel/Schitzu Mix-,tier_1
Siberian Husky Mix,tier_4
Doberman Pinscher,tier_1
Shepard Mix,tier_1
Lab/Chow mix,tier_2
Mini Australian Shepherd,tier_3
Beagle/Lab Mix,tier_2
Bull Dog mix,tier_1
Labrador Retriever/Beagle mix,tier_2
Pittbull,None
Bishon-Poo,tier_1
Rottweiler-Pitbull Mix/Brown,tier_4
Pitbull/Red,tier_4
Border collie/Basenji mix,tier_1
maltipoo,None
Black Lab,tier_4
Miniature Schnauzer/mix,tier_1
Dachshund/Jack Russell Terrier Mix,tier_2
Walker Hound/Mixed,tier_1
