unique_breed,matching_breed
Min Pin Mix/ Tan,tier_1
Potcake,None
Boxer/ Fawn,tier_4
Boxer/ Brindle w White,tier_4
Finnish Lapphund,tier_1
Bichon Frise/shih tzu mix,tier_1
Pointer/Dalmatian,tier_2
lab/collie mix,tier_3
Beagle/Lab,tier_2
Greyhound Mix/ White and Red,tier_1
mixed/ brindle,tier_1
chihuahua /bostonmix,tier_1
Goldendoodle/White,tier_1
Collie/Sable,tier_3
Westie,tier_1
Japanese Chin,tier_1
Miniature Bull Terrier,tier_2
Bischon/Cavalier mix,tier_1
minpin mix,tier_1
Dalmatian Mix,tier_2
Lab Mix/ Gold,tier_4
Labrador/ Yellow,tier_4
Boxer/Shepard Mix,tier_4
DSH/ Tortoishell,tier_1
Maltipoo/ White,tier_1
BLK Lab Mix,tier_4
pitbull/ tan and white,tier_4
Pit Bull/ White w fawn,tier_1
Weimaraner6,None
Beagle/mix,tier_2
miux,None
Shiba Inu Chow Mix/ Sesame,tier_2
Pitbull/Lab,tier_4
jack/weenie,tier_1
Greyhound mix,tier_1
Beagle/Hound,tier_2
Labrador Retriever mikx Black Brindle,tier_4
yorkie-poo,tier_1
Cur mix Tan,tier_1
poodle  mix,tier_3
Pugle,None
Labrador Retriever/Collie mix,tier_4
Labrador Retriever Chocolate,tier_4
DLH,None
Weimaraner/Great Dane Mix,tier_1
American Staffordshire Mix/Brindle,tier_1
Pit Hound Mix,tier_4
Beagle Mix Gold,tier_2
Schnoodle/Black,tier_1
Labrador Retriever/ Beagle mix,tier_2
Pomeranian/Maltese Mix,tier_1
Black Mouth Cur/ Pitt Mix,tier_1
pit/lab/cattledog mix,tier_4
Springer Spaniel/ Beagle mix,tier_2
German Shepherd Dog/chow.,tier_1
Labrador Retriever/pointer mix,tier_2
Shepard Golden Mix,tier_4
Labrador Retriever/Rottie mix,tier_4
Chihuahua/ Corgi Mix,tier_2
Chow Chow Mix,tier_2
Shih Tzu Wht,tier_1
Peekapoo,None
Mixed breed,tier_1
Brown black,tier_1
hound/shepherd mix,tier_1
Min Pin/Jack Russell Mix,tier_1
Poodle/mix,tier_3
Carolina Dog,tier_3
Labrador Retriever/boxer,tier_4
Lab/Grey Hound Mix,tier_1
cocker/bischon,tier_1
Lab black,tier_4
Collie/Whippet Mix,tier_2
Shih Tzu/ poodle mix,tier_1
Boxer Brindle,tier_4
Peekapoo Blonde,tier_1
Beagle/dashound mix,tier_2
Dashound,None
German Sheperd/Lab Mix,tier_1
Boykin Spaniel /lab Mix,tier_1
Mountain Cur,tier_1
Lab Yellow,tier_4
Pit/Shepherd mix,tier_1
Pitsky,None
Patterdale Terrier,tier_2
Golden Retriever Cream,tier_4
Cavalier King Charles Spaniel/ Tan,tier_1
Shih Tzu Blck/Gray,tier_1
Great Pyrenees/Lab Mix,tier_2
bassett/shepherd mix,tier_1
Labrador Retriever Mix Blck,tier_4
Shih Tzu mix Wht,tier_1
Black Mouth Cur Mix Brwn,tier_1
German Shepherd Dog Black/Tan Longed Haired,tier_1
Boxer/Pitt Mix,tier_4
Burnadoodle,None
Lab Mix Black,tier_4
jack/dach,tier_1
Catahula Leopard Hound Mix,tier_1
Pekingese/shiz shu mix,tier_1
aussie/mix,tier_3
cavachon,None
mini golden doodle,tier_4
Shephard Lab Mix,tier_4
Mixed,tier_1
bichon mix,tier_1
golden retriever mix,tier_4
"Fox Terrier, Wire",tier_2
lab/pitbull,tier_4
Pomeranian Mix,tier_1
Chihuahua terrier mix,tier_2
Rat Terrier/ Tri,tier_2
"Yorkshire Terrier,Sliver/tan",tier_2
Pembroke Corgi,tier_1
German Shorthaired Pointer Mix,tier_2
dach mix,tier_1
jack russel/chihuhua mix,tier_1
Pit Bull/ Blue,tier_4
Tennessee Hound,tier_3
Jack Russell/ White,tier_1
Shih Tzu-Lhasa Apso Mix,tier_1
Lab Mix/ Black and Tan,tier_1
Chihuahua/ Tan-Wire Haired,tier_1
Shepherd/boxer Mix,tier_1
Pit/Heeler,tier_4
schnauzer mix Grayish Black,tier_1
Shih Tzu/Havanese mix,tier_1
cavalier mix,tier_1
malti/shih tsu,tier_1
Poodle mini,tier_3
Whippet/Pit mix,tier_2
Pitt Blck/Wht,tier_1
Chihuahua/Min Pin Mix,tier_1
Labrador Retriever/Black,tier_4
Eskimo dog mix,tier_3
Border Terrier,tier_2
Bedlington Terrier,tier_2
Retriever Mix,tier_4
Blue Lacy,tier_1
Tibetan Terrier,tier_2
Eurasier,None
Dutch Shepherd Dog,tier_1
Shepherd Mix (Long Hair),tier_1
Welsh Terrier,tier_1
American Cocker Spaniel,tier_1
Mini Clumberdoodle,tier_1
doodle mix,tier_1
Irish Setter,tier_1
Corgi Mix,tier_2
Plott Hound,tier_3
heeler/pitbull mix,tier_4
Catahoula Cur,tier_1
Papillon mix,tier_1
Australian Kelpie,tier_3
Hound mix,tier_3
Alaskan Klee Kai,tier_2
Lab/Pointer Mix,tier_2
Multi-poo,tier_1
Schipperke,tier_1
Malshi,None
White Shepard/Husky mix,tier_4
Scottish Deerhound,tier_1
Pointer Mix,tier_2
Alpine Dachsbracke,tier_1
Cat: Russian Blue,tier_1
Puggls - Pug & Beagle Miz,tier_1
Parti Yorki,tier_1
grater swiss mountain dog,tier_2
French Brittany,tier_1
shnauzer,None
American Short Hair,tier_2
boxer/lab,tier_4
English Mastiff,tier_1
Saint-Usuge Spaniel,tier_1
